ticker,sentiment,lastSentiment,sentimentChange,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
RKT,7.158325975,17.51122739,-59.12150636,102,"Rocket Companies, Inc.",8.4,-0.01,-0.00119,9446029,996917700,4020729,8.05
THMO,7.326559575,17.90833333,-59.08854588,103,"ThermoGenesis Holdings, Inc.",0.309,0.0068,0.0225,61044315,3877189,2206033,0.231
CLF,7.047421525,17.20875085,-59.04745449,104,Cleveland-Cliffs Inc.,15.21,0.02,0.00132,22335307,7970757977,22529065,15.18
APLE,12.03125,29.125,-58.69098712,105,"Apple Hospitality REIT, Inc.",15.03,0.37,0.02524,1342852,3355506304,1591831,14.9
T.TO,7.166666667,17.18611111,-58.29966058,106,TELUS Corporation,28.9,0.05,0.00173,1863170,39906647799,1138758,28.85
ATER,7.819903628,18.46922386,-57.65981458,107,"Aterian, Inc.",2.39,-0.01,-0.00417,2277349,165575498,5194668,2.54
ABEV,12.09854167,28.22833333,-57.14043219,108,Ambev S.A.,2.6,0.01,0.00386,36028146,40793061644,38929268,2.56
RDFN,7.434874429,17.04464286,-56.37999287,109,Redfin Corporation,9.22,-0.05,-0.00539,2479219,993499995,2455154,9.57
BIIB,13.49627263,30.59912037,-55.89326598,110,Biogen Inc.,217.33,1.35,0.00625,969511,31630705768,898318,212.58
ALEX,6.646969697,15.05851852,-55.8590728,111,"Alexander & Baldwin, Inc.",17.86,0,0,307431,1298071301,391386,17.96
BKR,10.93859649,24.68,-55.67829623,112,Baker Hughes Company,27.5,0,0,8647149,28469100000,10379005,28.2
TSM,1.735036515,3.866499014,-55.12642033,113,Taiwan Semiconductor Manufacturing Company Limited,75.74,0.18,0.00238,11530526,3.9186E+11,22270972,76.11
CAR,10.05081301,22.3827381,-55.09569488,114,"Avis Budget Group, Inc.",148.5,-0.43,-0.00289,1080170,7191423419,1932334,155.5
SLB,8.631316872,19.04452599,-54.67822683,115,Schlumberger Limited,32.77,0.04,0.00122,13030944,46262568875,17644415,33.33
HNDL,16.55416667,36.26666667,-54.35431985,116,Strategy Shares Nasdaq 7 Handl Index ETF,21,0.13,0.00623,106470,1321592750,198706,20.84
FTI,10.8385625,23.54322917,-53.96314404,117,TechnipFMC plc,5.93,-0.14,-0.02306,16265205,2744924024,14444364,6.14
GRBK,17,36.12857143,-52.94582839,118,"Green Brick Partners, Inc.",20.96,0,0,343357,1015084898,386125,21.25
ENVX,16.975,35.45530303,-52.12281789,119,Enovix Corporation,8.86,0.18,0.02074,1561392,1361259540,2541327,8.68
BTAI,14.53053902,30.33685897,-52.10269121,120,"BioXcel Therapeutics, Inc.",16.01,0.16,0.01009,768269,443564548,449247,14.64
AFMD,16.06875,33.22663043,-51.63894205,121,Affimed N.V.,3.04,0.03999996,0.013333321,594784,376430305,1229873,3
VVV,15.60357143,32.165,-51.48897426,122,Valvoline Inc.,29.48,0,0,1375888,5253267253,1027669,29.71
DADA,8.25,16.92787879,-51.26382872,123,Dada Nexus Limited,9.05,0.18,0.02029,768577,2308656662,858670,9.43
BMBL,11.59013002,23.71304348,-51.12339741,124,Bumble Inc.,33.29,-0.23,-0.00686,3527971,4341527797,2309452,32.35
