ticker,sentiment,lastSentiment,sentimentChange,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
POWI,37.55000000000002,18.999999999999993,97.63157894736861,94,"Power Integrations, Inc.",71.04,0.0,0.0,351515,4142173325,504440.0,70.14
GOOGL,14.409643839557628,7.331630359168506,96.54078470469769,95,Alphabet Inc.,2297.5,6.06,0.00264,1871569,1555637372060,1969982.0,2265.26
PSFE,13.218400000000008,6.730442612942622,96.3971875279207,96,Paysafe Limited,2.05,0.04,0.0199,4824283,1457512749,5364080.0,2.14
SNAX,5.519444444444432,2.8124999999999956,96.2469135802468,97,"Stryve Foods, Inc.",0.99,0.05,0.05319,39895,12827555,23210.0,0.9425
SKYH,19.65555555555556,10.02333333333334,96.09799357055748,98,Sky Harbour Group Corporation - Class A,5.5,0.09,0.01664,57146,80812313,11356.0,5.69
BBBY,10.113817689103488,5.251914487321452,92.57392163408345,99,Bed Bath & Beyond Inc.,4.78,0.31,0.06935,13904345,357410691,13186358.0,4.64
BNGO,16.80070588235294,8.763862293144209,91.70435728429678,100,"Bionano Genomics, Inc.",1.53,0.0,0.0,4290693,443236479,8135280.0,1.52
MIRO,23.18527777777777,12.196517996870115,90.09751622329918,101,Miromatrix Medical Inc,2.6,0.33,0.14537,49117,46974581,77905.0,2.8
UA,13.474999999999993,7.113095238095246,89.43933054393274,102,"Under Armour, Inc.",7.76,0.1,0.01305,3568464,3716877120,3609795.0,7.92
RAD,20.795653689403704,11.08499290083007,87.60186745673492,103,Rite Aid Corporation,6.78,-0.2,-0.02865,2342718,388413331,2213175.0,6.76
VTNR,10.52559859154929,5.6530182072829005,86.1943161263649,104,"Vertex Energy, Inc.",10.15,-0.04,-0.00393,2624046,658080227,3116249.0,10.26
KO,20.132890277100614,10.842317273941537,85.68807542173731,105,The Coca-Cola Company,63.52,0.11,0.00173,13450506,274884171579,15925029.0,63.28
BMO,9.457692307692312,5.0966666666666605,85.56623232882257,106,Bank of Montreal,95.42,0.0,0.0,573483,64347542937,684717.0,94.83
FB,10.068735687050268,5.457592956861479,84.49041118743561,107,"Meta Platforms, Inc.",196.64,0.9900055,0.005060084500000001,22267154,532170735616,18828687.0,195.65
HCMC,15.668962264150931,8.51745439469318,83.96297224571599,108,Healthier Choices Management Corp,0.0001,-5e-05,-0.33333336,258963117,67948326,299737207.0,0.00015
CHWY,16.928241348365013,9.372809405940586,80.61010968211637,109,"Chewy, Inc.",39.88,0.05,0.00126,4744512,15864289000,6236203.0,40.54
DNN,13.873838797814209,7.6863168724279785,80.5004793333702,110,Denison Mines Corp.,0.941,0.001,0.00106,6114290,768486844,6974307.0,0.9513
VLON,21.76089743589744,12.153174603174621,79.05525219898605,111,"Vallon Pharmaceuticals, Inc.",0.639,-0.0063,-0.00976,234345,6783643,304087.0,0.635
HON,14.950785907859077,8.433333333333337,77.28204633824984,112,Honeywell International Inc.,173.12,-0.09,-0.00052,2201668,117909750805,3346030.0,172.09
FNV.TO,17.599999999999994,10.000000000000009,75.99999999999977,113,Franco-Nevada Corporation,171.38,0.16,0.00093,546774,32816137516,267957.0,171.22
CODX,18.397619047619052,10.583571428571448,73.83185980067913,114,"Co-Diagnostics, Inc.",6.09,0.16,0.02698,352975,201547274,432191.0,6.12
PROG,28.29722222222224,16.304248366013073,73.55735503397413,115,"Progenity, Inc.",0.8845,-0.03179997,-0.03470476,2779613,276736750,5076727.0,0.9163
PIK,23.190798611111106,13.568749999999996,70.91330160192437,116,Kidpik Corp.,1.53,-0.07,-0.04375,37007,12188534,146721.0,1.63
AMRN,4.554901960784319,2.6704354745370473,70.5677596113408,117,Amarin Corporation plc,1.59,0.03,0.01923,2769536,619332719,3382577.0,1.59
GNUS,15.74885802469137,9.386249999999997,67.7864751598495,118,"Genius Brands International, Inc.",0.6942,0.0073,0.01063,2022787,217149131,2195460.0,0.6828
ZEN,33.97815218441911,20.272727367412415,67.60523420759658,119,"Zendesk, Inc.",74.12,0.0,0.0,9052159,9136838589,6844126.0,74.28
SD,25.290717120181405,15.23225446428571,66.03397205239226,120,"SandRidge Energy, Inc.",14.9,0.0,0.0,1068903,547218234,1297274.0,15.15
LOTZ,18.720684523809506,11.285683760683751,65.87993178603209,121,"CarLotz, Inc.",0.4026,-0.0061,-0.01493,1153459,46681229,1835633.0,0.4134
VXRT,14.445169851380047,8.781530804412174,64.49489471838152,122,"Vaxart, Inc.",4.29,0.01,0.00234,2755012,541016871,3104828.0,4.18
VINE,31.999999999999986,19.58,63.43207354443303,123,"Fresh Vine Wine, Inc.",2.15,-0.01,-0.00463,8586,26896026,10346.0,2.1
CRXT,16.81047385620915,10.437301587301606,61.061493869846316,124,"Clarus Therapeutics Holdings, Inc.",0.4068,-0.0011,-0.0027,2657606,21219256,6222021.0,0.4137
DRCT,22.499999999999986,13.98268942797245,60.9132500289151,125,Direct Digital Holdings Inc Class A,1.27,-0.035,-0.02682,28999,3654000,51257.0,1.33
TD,15.4812606837607,9.633533635676494,60.70178679221026,126,The Toronto-Dominion Bank,63.77,0.0,0.0,3541092,115216033633,2264523.0,64.24
LOV,23.530808080808075,14.647113526570044,60.6515033704279,127,Spark Networks SE,3.3,0.07,0.02167,25196,86446338,33529.0,3.23
INMD,18.844298245614045,11.739166666666678,60.52500812619317,128,InMode Ltd.,23.17,0.17,0.00739,1430431,1914548083,1115442.0,23.88
GO,39.08348997493736,24.462507145055625,59.768946589094554,129,Grocery Outlet Holding Corp.,42.36,-0.4,-0.00935,1794240,4120670152,931967.0,43.1
FERN,20.224537037037038,12.858928571428564,57.280110272750285,130,Fernhill Corp,0.0055,-0.0005,-0.08333,4894528,12540718,14208671.0,0.006
FF,21.52708333333333,13.71296296296296,56.98345712356516,131,FutureFuel Corp.,6.92,0.0,0.0,190354,302841642,375401.0,6.93
Z,13.88905233380482,9.063111181972783,53.24817333622918,132,"Zillow Group, Inc.",34.4,-0.36,-0.01036,2993811,8353345125,3511329.0,35.07
HITI,18.41756756756756,12.094736842105247,52.277538635241115,133,High Tide Inc.,2.17,0.08,0.03828,47058,130676368,71156.0,2.13
ZNGA,30.226666666666667,19.999999999999996,51.13333333333336,134,Zynga Inc.,8.18,-0.17000008,-0.02035929,227573837,9302898678,43312493.0,8.35
BA,14.566906053917993,9.68327680045833,50.43364301254416,135,The Boeing Company,136.13,-0.18,-0.00132,6608039,80645880396,10073971.0,137.7
